cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
配饰,配饰,黄金珠宝,APM Monaco,APM Monaco北京王府井银泰in88店,拥有三十年珠宝设计及制作经验的apm MONACO，不断引领时尚，在维系自身风格的同时不断推出新颖精美的新款珠宝，是流行精品时尚的佼佼者。其在传承了家族手工艺制作的基础之上又加入了...详情>>,3657,北京西城区
配饰,配饰,服饰配饰,WOO嫵,上海兆妩贸易有限公司,"""奢侈品是文化表达的产物，如果一个产品不能将其文化体现，那么就失去了它的价值！""这个简单的理念来源于——WOO嫵，第一个集合了来自中国无可争议的辉煌遗产灵感的真正时...详情>>",2.4万,上海黄浦区
配饰,配饰,眼镜,WEISHANG薇尚,上海雅视眼镜有限公司,"薇尚是上海雅视眼镜有限公司旗下的偏光太阳镜品牌,以“时尚、个性、气质”为设计脉络，彰显自我风格的生活态度.公司拥有强大的产品研发与创新能力，及对时尚潮流的高敏感度，在眼镜行...详情>>",98,上海
配饰,配饰,时尚饰品,艾特里里RIOTLILY,艾特里里RIOTLILY:上海阿吉豆投资管理咨询有限公司,艾特里里英文名RIOTLILY，RIOTLILY的团队拥有十年配饰管理经验，提供中、高端仿真配饰，产品风格多样，倾听每个人内心的声音，满足不同审美与追求。在RIOTLILY的世界中，我们可化身知...详情>>,7177,上海闵行区
配饰,配饰,眼镜,aojo,深圳艾镜科技有限公司,aojo成立于2013年，系国内首家快时尚眼镜品牌。拥有框架、太阳镜、PC电脑镜、老花镜四大功能性眼镜，1000款以上产品，能全面覆盖市场需求。突破行业传统，定制299-799的主要价格区间...详情>>,5149,广东深圳
配饰,配饰,服饰配饰,风度,浙江风度服饰领带有限公司,浙江风度服饰领带有限公司座落于浙江省嵊州市 ，是一家领带/丝巾的专业设计制造企业。     公司注册资金1000万元，经浙江省外经贸厅和海关的批准，拥有自营进出口权。产能达到领带200...详情>>,216,浙江
配饰,配饰,黄金珠宝,梦金园,山东梦金园珠宝首饰有限公司,公司是集研发、生产、加工、销售于一体的AAA级标准化良好行为企业，创建于1994年，2004年变更为现公司。主要从事黄金、白银、工艺品等珠宝首饰的加工销售。是世界珠宝华商企业家联合...详情>>,173,广东深圳
配饰,配饰,黄金珠宝,菜百首饰,北京菜市口百货股份有限公司,2012年，菜百公司销售实现124.5亿元，迄今为止，菜百公司已经连续23年蝉联北京市黄金珠宝销量第一，全国单独门店销量第一。菜百首饰时尚的款式、高质量的产品和优质的服务是“菜百首...详情>>,815,北京西城区
配饰,配饰,手表,MIDI美度,瑞表企业管理（上海）有限公司,MIDI美度手表品牌:现坐落在瑞士侏罗（Jura）山脉中心力洛克（Le Locle）小镇的瑞士美度表由George Schaeren先生于1918年创立。瑞士美度表的名字源于西班牙语“Yo mido”，意为“我衡...详情>>,372,上海徐汇区
配饰,配饰,手表,Mr Jones,厦门市创欣旺贸易有限公司,"我们的故事_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _We dont follow trends. Instead, we make unusual watches which tell a story, start...详情>>",87,福建厦门
配饰,配饰,眼镜,MELLER,厦门市创欣旺贸易有限公司,"MELLER 是西班牙知名社交媒体品牌，专门通过线上社交媒体平台为年轻男女提供时尚潮流的太阳镜和手表。We are coolhunter ,We design fashion,We follow trendy.我们是时尚的猎奇者，...详情>>",144,福建厦门
配饰,配饰,手表,DUFOUR舵峯,杭州大捷品牌管理有限公司,DUFOUR舵峯是一个源于瑞士的小众腕表品牌，凭借其新古典主义风格和精湛工艺，从竞争激烈的瑞士腕表市场中脱颖而出，受到越来越多小资情调者的青睐。DUFOUR是以瑞士最高山峰命名的高级...详情>>,112,浙江
配饰,配饰,手表,飞亚达,深圳市飞亚达 集团 股份有限公司,深圳市飞亚达（集团）股份有限公司是中国著名钟表企业，中国钟表行业唯一一家上市公司（股票代码为000026、200026），主要从事钟表及其零配件的制造和销售。公司成立于1987年，目前的...详情>>,8405,广东
配饰,配饰,时尚饰品,JUJU Palais Royal,JUJUPALAISROYAL茱茱公主隶属罗雅饰品开发设计有限公司,以皇家珠宝摆件起家的JUJU Palais Royal定制品牌，自创立以来定制众多非凡夺目艺术品，从代表艺术成就的Imperal coronation Egg沙皇加冕礼彩蛋、珠寶高跟鞋的問世，到1996年JUJU Pala...详情>>,128,广东东莞
配饰,配饰,黄金珠宝,Buccellati布契拉提,意大利布契拉提珠宝公司,布契拉提Buccellati品牌介绍　　意大利珠宝品牌布契拉提创立于1919年，汇集了来自不同国家、不同艺术领域的真正的智慧，这些智慧又滋养着品牌的历史与今天，使其成为名副其实的珠宝艺...详情>>,311,上海
配饰,配饰,黄金珠宝,日本TASAKI,塔思琦（上海）商业有限公司,TASAKI珍珠珠宝拥有自己的珍珠养殖场，TASAKI珍珠是日本唯一一家拥有“高端钻石切割技术”的公司。严格的选材和加工过程与崇尚自然的美的理念相融合，TASAKI珍珠闪耀出高品质的光芒，...详情>>,3.4万,上海浦东新区
配饰,配饰,黄金珠宝,MCLON万隆曼卡龙,浙江万隆曼卡龙珠宝有限公司,MCLON万隆曼卡龙珠宝，诞生于1994年。MCLON万隆曼卡龙珠宝是一家涉及珠宝设计、制造、批发、零售等多个领域的大型国际专业珠宝集团。多年来公司以国际化的视野、前瞻性的经营理念和科...详情>>,1.4万,浙江杭州
配饰,配饰,时尚饰品,尤目YVMIN,北京尤目服饰有限公司,尤目YVMIN饰品品牌：张晓宇，毕业于中央美术学院。艺术首饰创作人，设计师服饰品牌尤目YVMIN创办人。她善于应用新奇的特殊材质和新技术进行首饰作品创作，拥有敏锐的感知力和独特的视...详情>>,1706,北京朝阳区
配饰,配饰,手表,SWATCH斯沃淇,瑞表企业管理(上海)有限公司,事实上，Swatch旗下的不同品牌性格迥异，凸显着其独特的一面，消费者易于根据自己的身份、职业、收入、社会地位的需要作出购买选择。如欧米茄代表着一种成功人士或名人尊贵豪华的选择...详情>>,1.5万,上海徐汇区
配饰,配饰,时尚饰品,好西好HAO2,温州市好西好饰品有限公司,作为饰品界领军品牌，（Hao）2好西好是时尚女性心目中的潮流地带，涉足到头饰、首饰等范畴，以不同维度展现（Hao）2魅力，（Hao）2将是美学主义和实用主义结合的最佳阐述者，打破常规...详情>>,3055,浙江温州
