category,goods_id,goods_name,color,sale_price,origin_price,design,material,stereotype,length
毛织,1HH4030110090,V领长款开衫针织外套,黑色,￥387 ,"￥1,290 ",简约大气,简约宽松版型；随性V领设计；优选含羊毛马海毛面料,宽松,长款
毛织,1HH3035330090,拼流苏围巾长针织外套,黑色,"￥1,290 ","￥1,290 ",都会大气,长款宽松版型；翻领拼接流苏长巾设计；精选柔韧羊毛混纺面料,宽松,长款
毛织,1HY3038390010,喇叭袖长袖毛衣,米白,￥639 ,￥639 ,摩登格调,简约合体版型；摩登喇叭袖设计；精选柔韧羊毛混纺材质,合体,适中
毛织,1HY3038400010,交叉系带薄款毛衣,米白,￥499 ,￥499 ,摩登时髦,性感大V领；前幅交叉织带设计；轻柔薄款；精选柔韧羊毛混纺材质,合体,适中
毛织,1HY3039080090,高领纯色薄针织衫,黑色,￥129 ,￥439 ,摩登百搭,简约宽松版型；时髦高领设计；添加亮泽金属色闪线,宽松,适中
毛织,1HY3039080810,高领纯色薄针织衫,黑色,￥439 ,￥439 ,摩登百搭,简约宽松版型；时髦高领设计；添加亮泽金属色闪线,宽松,适中
毛织,1HY3031050010,圆领纯色长袖套头毛衣,米白,￥499 ,￥499 ,简约格调,简约合体版型；时尚落肩设计；小金属星球装饰；精选兔羊毛混纺,合体,适中
毛织,1HY3031130929,撞色条纹套头针织衫,蓝啡条,￥569 ,￥569 ,时尚摩登,简约宽松版型；圆领落肩款式；撞色斜条纹图案,宽松,适中
毛织,1HY3032800010,V领拼接宽松套头毛衣,米白,￥569 ,￥569 ,优雅时髦,简约宽松版型；前后V领+后领拼织带；时尚落肩；羊毛+马海毛混纺,宽松,适中
毛织,1HY3036400090,钉珠撞色卡通毛衣,黑色,￥599 ,￥599 ,轻松俏皮,圆领套头款式；钉珠刺绣+撞色卡通猫头鹰图案；精选含羊毛针织料,宽松,适中
毛织,1HH3032790910,撞色条纹修身套头毛衣,黑白条,￥134 ,￥539 ,都会自信,简约修身版型；复古撞色不规则条纹；精选柔韧含羊毛材质,修身,适中
毛织,1HN3033470010,撞色刺绣长款针织外套,米白,￥224 ,￥899 ,轻松趣味,V领开襟毛衣；长款宽松版型；撞色刺绣卡通图案；松软羊毛混纺,合体,长款
毛织,1HY3038400090,交叉系带薄款毛衣,米白,￥149 ,￥499 ,摩登时髦,性感大V领；前幅交叉织带设计；轻柔薄款；精选柔韧羊毛混纺材质,合体,适中
